,Position,Entry Time,Entry Price,Exit Time,Exit Price,PnL
58,1.0,2019-09-06 12:00:00+00:00,112.74,2019-09-06 12:15:00+00:00,112.74,0.0
59,1.0,2019-09-06 14:00:00+00:00,112.79,2019-09-06 14:15:00+00:00,112.69,-0.10000000000000853
60,1.0,2019-09-06 14:30:00+00:00,112.64,2019-09-06 15:30:00+00:00,112.72,0.0799999999999983
61,1.0,2019-09-09 09:45:00+00:00,114.15,2019-09-11 11:00:00+00:00,116.66,2.509999999999991
62,1.0,2019-09-11 12:15:00+00:00,116.54,2019-09-11 12:30:00+00:00,116.44,-0.10000000000000853
63,1.0,2019-09-11 12:45:00+00:00,116.45,2019-09-11 13:00:00+00:00,116.8,0.3499999999999943
64,1.0,2019-09-11 14:45:00+00:00,116.76,2019-09-11 15:30:00+00:00,116.82,0.05999999999998806
65,1.0,2019-09-12 09:45:00+00:00,116.47,2019-09-13 10:45:00+00:00,119.3,2.8299999999999983
66,1.0,2019-09-13 11:00:00+00:00,119.43,2019-09-18 11:00:00+00:00,118.26,-1.1700000000000017
67,1.0,2019-09-18 11:15:00+00:00,118.21,2019-09-18 11:30:00+00:00,118.21,0.0
68,1.0,2019-09-18 11:45:00+00:00,118.23,2019-09-18 12:00:00+00:00,118.52,0.28999999999999204
69,1.0,2019-09-20 14:00:00+00:00,119.41,2019-09-20 14:30:00+00:00,119.52,0.10999999999999943
70,1.0,2019-09-20 15:30:00+00:00,119.16,2019-09-23 15:30:00+00:00,119.07,-0.09000000000000341
71,1.0,2019-09-24 16:00:00+00:00,117.36,2019-09-25 12:45:00+00:00,118.09,0.730000000000004
72,1.0,2019-09-25 13:00:00+00:00,117.98,2019-09-25 14:00:00+00:00,118.18,0.20000000000000284
73,1.0,2019-09-25 15:00:00+00:00,118.0,2019-09-25 16:00:00+00:00,118.03,0.030000000000001137
74,1.0,2019-10-01 10:15:00+00:00,117.46,2019-10-01 10:45:00+00:00,117.25,-0.20999999999999375
75,1.0,2019-10-02 09:45:00+00:00,114.08,2019-10-02 10:00:00+00:00,114.3,0.21999999999999886
76,1.0,2019-10-03 10:15:00+00:00,110.77,2019-10-03 10:45:00+00:00,111.13,0.35999999999999943
77,1.0,2019-10-03 11:45:00+00:00,111.78,2019-10-04 12:00:00+00:00,113.4,1.6200000000000045
78,1.0,2019-10-04 13:15:00+00:00,113.31,2019-10-04 13:30:00+00:00,113.38,0.06999999999999318
79,1.0,2019-10-08 09:45:00+00:00,112.42,2019-10-08 10:15:00+00:00,112.12,-0.29999999999999716
80,1.0,2019-10-08 13:45:00+00:00,112.76,2019-10-11 09:45:00+00:00,116.27,3.509999999999991
81,1.0,2019-10-11 10:15:00+00:00,116.98,2019-10-14 15:00:00+00:00,116.29,-0.6899999999999977
82,1.0,2019-10-14 15:15:00+00:00,116.24,2019-10-14 16:00:00+00:00,116.41,0.1700000000000017
83,1.0,2019-10-15 10:15:00+00:00,119.45,2019-10-18 10:45:00+00:00,120.42,0.9699999999999989
84,1.0,2019-10-18 11:00:00+00:00,120.6,2019-10-18 11:45:00+00:00,120.87,0.27000000000001023
85,1.0,2019-10-18 12:30:00+00:00,120.62,2019-10-18 12:45:00+00:00,120.78,0.1599999999999966
86,1.0,2019-10-18 14:30:00+00:00,120.82,2019-10-18 15:00:00+00:00,120.87,0.05000000000001137
87,1.0,2019-10-18 16:00:00+00:00,120.56,2019-10-21 10:00:00+00:00,122.84,2.280000000000001
88,1.0,2019-10-21 10:15:00+00:00,122.6,2019-10-22 10:00:00+00:00,123.44,0.8400000000000034
89,1.0,2019-10-22 10:15:00+00:00,123.24,2019-10-22 10:45:00+00:00,123.76,0.5200000000000102
90,1.0,2019-10-22 15:15:00+00:00,124.8,2019-10-22 16:00:00+00:00,124.86,0.060000000000002274
91,1.0,2019-10-23 10:00:00+00:00,124.71,2019-10-23 11:30:00+00:00,124.53,-0.1799999999999926
92,1.0,2019-10-23 12:00:00+00:00,124.52,2019-10-23 12:30:00+00:00,124.58,0.060000000000002274
93,1.0,2019-10-23 13:00:00+00:00,124.43,2019-10-23 14:15:00+00:00,124.6,0.1699999999999875
94,1.0,2019-10-24 10:15:00+00:00,124.12,2019-10-24 11:30:00+00:00,124.64,0.519999999999996
95,1.0,2019-10-24 12:30:00+00:00,124.42,2019-10-24 13:30:00+00:00,124.54,0.12000000000000455
96,1.0,2019-10-24 13:45:00+00:00,124.33,2019-10-24 14:15:00+00:00,124.59,0.2600000000000051
97,1.0,2019-10-25 09:45:00+00:00,125.71,2019-10-25 10:00:00+00:00,125.58,-0.12999999999999545
98,1.0,2019-10-25 12:30:00+00:00,126.47,2019-10-25 12:45:00+00:00,126.44,-0.030000000000001137
99,1.0,2019-10-25 13:15:00+00:00,126.5,2019-10-25 13:45:00+00:00,126.54,0.04000000000000625
100,1.0,2019-10-25 14:45:00+00:00,126.24,2019-10-25 15:45:00+00:00,126.26,0.020000000000010232
101,1.0,2019-10-25 16:00:00+00:00,126.02,2019-10-29 10:00:00+00:00,127.08,1.0600000000000023
102,1.0,2019-10-29 11:15:00+00:00,126.93,2019-10-29 14:00:00+00:00,126.34,-0.5900000000000034
103,1.0,2019-10-29 14:30:00+00:00,126.33,2019-10-29 16:00:00+00:00,126.41,0.0799999999999983
104,1.0,2019-10-30 10:00:00+00:00,125.77,2019-10-30 12:45:00+00:00,125.45,-0.3199999999999932
105,1.0,2019-10-30 14:15:00+00:00,125.44,2019-10-30 14:30:00+00:00,125.61,0.1700000000000017
106,1.0,2019-10-30 16:00:00+00:00,125.74,2019-11-05 09:45:00+00:00,129.5,3.760000000000005
107,1.0,2019-11-05 12:00:00+00:00,129.45000000000002,2019-11-05 13:00:00+00:00,129.87,0.4199999999999875
108,1.0,2019-11-05 15:15:00+00:00,129.749,2019-11-06 10:15:00+00:00,129.74,-0.00899999999998613
109,1.0,2019-11-06 10:30:00+00:00,129.37900000000002,2019-11-06 10:45:00+00:00,129.43,0.05099999999998772
110,1.0,2019-11-06 11:30:00+00:00,129.45000000000002,2019-11-06 13:00:00+00:00,129.12,-0.3300000000000125
111,1.0,2019-11-06 13:15:00+00:00,128.99,2019-11-06 13:45:00+00:00,129.21,0.21999999999999886
112,1.0,2019-11-06 14:45:00+00:00,129.15,2019-11-06 15:00:00+00:00,129.19,0.03999999999999204
113,1.0,2019-11-06 15:15:00+00:00,129.1,2019-11-06 16:00:00+00:00,129.3,0.20000000000001705
114,1.0,2019-11-07 09:45:00+00:00,130.98000000000002,2019-11-08 11:00:00+00:00,129.62,-1.3600000000000136
115,1.0,2019-11-08 13:30:00+00:00,129.999,2019-11-08 15:15:00+00:00,129.889,-0.10999999999998522
116,1.0,2019-11-11 09:45:00+00:00,129.46,2019-11-11 11:00:00+00:00,129.789,0.3289999999999793
117,1.0,2019-11-13 10:30:00+00:00,128.479,2019-11-14 09:45:00+00:00,128.53,0.05099999999998772
118,1.0,2019-11-14 10:00:00+00:00,128.28,2019-11-14 11:30:00+00:00,128.28,0.0
119,1.0,2019-11-14 11:45:00+00:00,127.98,2019-11-14 12:45:00+00:00,128.259,0.27899999999998215
120,1.0,2019-11-14 14:00:00+00:00,128.199,2019-11-14 14:15:00+00:00,128.34,0.14099999999999113
121,1.0,2019-11-15 12:30:00+00:00,129.09,2019-11-15 12:45:00+00:00,129.29000000000002,0.20000000000001705
122,1.0,2019-11-15 13:15:00+00:00,129.289,2019-11-15 13:45:00+00:00,129.229,-0.05999999999997385
123,1.0,2019-11-15 14:00:00+00:00,129.21,2019-11-15 14:45:00+00:00,129.26000000000002,0.05000000000001137
124,1.0,2019-11-18 09:45:00+00:00,129.13,2019-11-18 10:00:00+00:00,129.36,0.2300000000000182
125,1.0,2019-11-19 10:00:00+00:00,130.789,2019-11-19 10:15:00+00:00,130.63,-0.15899999999999181
126,1.0,2019-11-22 15:15:00+00:00,130.62900000000002,2019-11-22 16:00:00+00:00,130.77,0.14099999999999113
127,1.0,2019-11-25 11:15:00+00:00,131.33,2019-11-25 12:45:00+00:00,131.26,-0.0700000000000216
128,1.0,2019-11-25 14:00:00+00:00,131.21,2019-11-25 14:45:00+00:00,131.27,0.060000000000002274
129,1.0,2019-11-26 09:45:00+00:00,130.83,2019-11-26 12:15:00+00:00,130.90900000000002,0.07900000000000773
130,1.0,2019-12-03 09:45:00+00:00,129.47,2019-12-03 10:15:00+00:00,128.82,-0.6500000000000057
131,1.0,2019-12-03 10:30:00+00:00,128.8,2019-12-03 10:45:00+00:00,129.19,0.38999999999998636
132,1.0,2019-12-03 14:15:00+00:00,129.009,2019-12-04 15:45:00+00:00,132.32,3.311000000000007
133,1.0,2019-12-06 09:45:00+00:00,135.23000000000002,2019-12-09 10:45:00+00:00,135.21,-0.020000000000010232
134,1.0,2019-12-09 12:00:00+00:00,134.83,2019-12-09 14:45:00+00:00,134.63,-0.20000000000001705
135,1.0,2019-12-09 15:15:00+00:00,134.67,2019-12-09 15:30:00+00:00,134.57000000000002,-0.0999999999999659
136,1.0,2019-12-09 16:00:00+00:00,134.44,2019-12-10 11:00:00+00:00,134.25,-0.18999999999999773
137,1.0,2019-12-10 11:30:00+00:00,133.92000000000002,2019-12-10 12:30:00+00:00,134.08,0.1599999999999966
138,1.0,2019-12-10 15:15:00+00:00,134.31,2019-12-11 10:00:00+00:00,134.65,0.3400000000000034
139,1.0,2019-12-11 11:15:00+00:00,134.61,2019-12-11 11:30:00+00:00,134.43,-0.18000000000000682
140,1.0,2019-12-11 11:45:00+00:00,134.56,2019-12-11 13:15:00+00:00,134.33,-0.22999999999998977
141,1.0,2019-12-11 13:45:00+00:00,134.08,2019-12-11 14:45:00+00:00,134.35,0.2699999999999818
142,1.0,2019-12-11 16:00:00+00:00,134.16,2019-12-13 15:45:00+00:00,136.89,2.7299999999999898
143,1.0,2019-12-16 09:45:00+00:00,138.29,2019-12-17 09:45:00+00:00,137.98,-0.3100000000000023
144,1.0,2019-12-17 10:00:00+00:00,137.53,2019-12-17 10:15:00+00:00,137.95,0.4199999999999875
145,1.0,2019-12-17 11:00:00+00:00,137.91,2019-12-17 11:15:00+00:00,137.79000000000002,-0.11999999999997613
146,1.0,2019-12-17 11:30:00+00:00,137.84,2019-12-17 12:00:00+00:00,138.11,0.27000000000001023
147,1.0,2019-12-17 15:15:00+00:00,138.43,2019-12-17 15:30:00+00:00,138.56,0.12999999999999545
148,1.0,2019-12-17 16:00:00+00:00,138.21,2019-12-18 10:00:00+00:00,138.42000000000002,0.21000000000000796
149,1.0,2019-12-18 10:15:00+00:00,138.38,2019-12-18 11:00:00+00:00,138.60000000000002,0.22000000000002728
150,1.0,2019-12-18 12:30:00+00:00,138.76,2019-12-18 13:15:00+00:00,138.66,-0.09999999999999432
151,1.0,2019-12-18 13:45:00+00:00,138.71,2019-12-18 14:00:00+00:00,138.63,-0.0800000000000125
152,1.0,2019-12-18 14:15:00+00:00,138.55,2019-12-19 11:30:00+00:00,137.91,-0.6400000000000148
153,1.0,2019-12-19 11:45:00+00:00,137.6,2019-12-19 13:30:00+00:00,137.48000000000002,-0.11999999999997613
