,open,high,low,close,volume
2023-12-14 14:00:00-05:00,197.16,197.59,197.14,197.27,799545
2023-12-14 14:05:00-05:00,197.2701,197.5,197.2701,197.34,334926
2023-12-14 14:10:00-05:00,197.34,197.615,197.26,197.45,311175
2023-12-14 14:15:00-05:00,197.45,197.7,197.39,197.665,333110
2023-12-14 14:20:00-05:00,197.67,197.76,197.59,197.69,309797
2023-12-14 14:25:00-05:00,197.69,197.8,197.62,197.77,257107
2023-12-14 14:30:00-05:00,197.78,197.9001,197.58,197.8862,273288
2023-12-14 14:35:00-05:00,197.885,197.93,197.655,197.74,354752
2023-12-14 14:40:00-05:00,197.75,197.9875,197.68,197.96,282361
2023-12-14 14:45:00-05:00,197.97,198.125,197.87,198.0689,337952
2023-12-14 14:50:00-05:00,198.06,198.1,197.945,197.98,436861
2023-12-14 14:55:00-05:00,197.98,198.31,197.96,198.2907,372453
2023-12-14 15:00:00-05:00,198.295,198.41,198.23,198.23,412020
2023-12-14 15:05:00-05:00,198.23,198.46,198.13,198.46,701850
2023-12-14 15:10:00-05:00,198.455,198.75,198.44,198.645,1014107
2023-12-14 15:15:00-05:00,198.6402,198.8,198.47,198.78,664518
2023-12-14 15:20:00-05:00,198.79,199.05,198.78,199.03,675993
2023-12-14 15:25:00-05:00,199.04,199.175,198.87,198.88,606327
2023-12-14 15:30:00-05:00,198.89,199.32,198.86,199.225,526659
2023-12-14 15:35:00-05:00,199.21,199.3,198.85,198.86,718360
2023-12-14 15:40:00-05:00,198.87,198.91,198.45,198.48,897393
2023-12-14 15:45:00-05:00,198.49,198.81,198.41,198.48,736653
2023-12-14 15:50:00-05:00,198.46,198.73,198.445,198.645,855828
2023-12-14 15:55:00-05:00,198.65,198.805,198.54,198.73,1793977
2023-12-15 09:30:00-05:00,198.95,199.35,198.6,198.71,2198373
2023-12-15 09:35:00-05:00,198.71,198.83,198.18,198.29,1213883
2023-12-15 09:40:00-05:00,198.285,198.95,198.11,198.12,1020111
2023-12-15 09:45:00-05:00,198.14,198.42,197.705,198.03,1217857
2023-12-15 09:50:00-05:00,198.03,198.44,197.5,198.405,1235376
2023-12-15 09:55:00-05:00,198.41,198.59,197.9657,198.22,884611
2023-12-15 10:00:00-05:00,198.225,198.82,198.17,198.25,844277
2023-12-15 10:05:00-05:00,198.26,198.565,198.07,198.43,736343
2023-12-15 10:10:00-05:00,198.44,198.73,198.13,198.49,535689
2023-12-15 10:15:00-05:00,198.5,198.55,197.95,198.02,783517
2023-12-15 10:20:00-05:00,198.02,198.29,197.92,197.9218,326553
2023-12-15 10:25:00-05:00,197.93,198.56,197.92,198.43,468597
2023-12-15 10:30:00-05:00,198.43,198.6,198.22,198.51,424792
2023-12-15 10:35:00-05:00,198.52,198.63,198.16,198.39,610363
2023-12-15 10:40:00-05:00,198.39,198.695,198.39,198.45,437647
2023-12-15 10:45:00-05:00,198.45,198.65,198.39,198.59,381756
2023-12-15 10:50:00-05:00,198.58,199.14,198.535,199.14,576317
2023-12-15 10:55:00-05:00,199.15,199.55,199.01,199.22,889891
2023-12-15 11:00:00-05:00,199.21,199.4499,199.07,199.11,432542
2023-12-15 11:05:00-05:00,199.12,199.125,198.49,198.585,432038
2023-12-15 11:10:00-05:00,198.585,198.68,198.325,198.46,472565
2023-12-15 11:15:00-05:00,198.46,198.51,198.12,198.145,497019
2023-12-15 11:20:00-05:00,198.14,198.237,197.93,198.1908,594704
2023-12-15 11:25:00-05:00,198.19,198.32,198.065,198.1099,347955
2023-12-15 11:30:00-05:00,198.11,198.265,197.93,198.01,436447
2023-12-15 11:35:00-05:00,198.01,198.18,197.8,197.85,434531
2023-12-15 11:40:00-05:00,197.845,197.88,197.61,197.78,288406
2023-12-15 11:45:00-05:00,197.77,197.86,197.6,197.7,273134
2023-12-15 11:50:00-05:00,197.71,197.91,197.6995,197.905,227392
2023-12-15 11:55:00-05:00,197.9,198.1199,197.84,198.1,196141
2023-12-15 12:00:00-05:00,198.11,198.21,197.89,197.97,257941
2023-12-15 12:05:00-05:00,197.98,198.27,197.98,198.21,273217
2023-12-15 12:10:00-05:00,198.21,198.295,198.02,198.08,157067
2023-12-15 12:15:00-05:00,198.08,198.15,197.86,197.95,137483
2023-12-15 12:20:00-05:00,197.95,198.16,197.95,198.16,167422
2023-12-15 12:25:00-05:00,198.16,198.32,198.035,198.12,264958
2023-12-15 12:30:00-05:00,198.13,198.2,197.85,198.045,447612
2023-12-15 12:35:00-05:00,198.04,198.04,197.56,197.74,578682
2023-12-15 12:40:00-05:00,197.74,197.74,197.56,197.56,134153
2023-12-15 12:45:00-05:00,197.56,197.56,197.07,197.435,555271
2023-12-15 12:50:00-05:00,197.43,197.475,197.22,197.315,262688
2023-12-15 12:55:00-05:00,197.31,197.475,197.13,197.19,506084
2023-12-15 13:00:00-05:00,197.18,197.19,196.97,197.04,557171
2023-12-15 13:05:00-05:00,197.04,197.125,196.69,196.76,520851
2023-12-15 13:10:00-05:00,196.76,196.9,196.67,196.875,314815
2023-12-15 13:15:00-05:00,196.875,196.925,196.64,196.6797,311155
2023-12-15 13:20:00-05:00,196.67,197.02,196.66,196.9495,324183
2023-12-15 13:25:00-05:00,196.955,197.195,196.91,197.17,352039
2023-12-15 13:30:00-05:00,197.17,197.2399,196.8,197.055,466770
2023-12-15 13:35:00-05:00,197.04,197.04,196.45,196.58,894785
2023-12-15 13:40:00-05:00,196.58,196.67,196.08,196.11,795289
2023-12-15 13:45:00-05:00,196.1,196.3667,196.03,196.34,468769
2023-12-15 13:50:00-05:00,196.35,196.51,196.23,196.345,617917
2023-12-15 13:55:00-05:00,196.35,196.51,196.13,196.17,344630
2023-12-15 14:00:00-05:00,196.16,196.38,196.065,196.33,411867
2023-12-15 14:05:00-05:00,196.31,196.31,195.95,196.1993,589598
2023-12-15 14:10:00-05:00,196.2,196.48,196.03,196.44,336689
2023-12-15 14:15:00-05:00,196.45,196.75,196.44,196.64,416001
2023-12-15 14:20:00-05:00,196.6499,196.73,196.485,196.52,225971
2023-12-15 14:25:00-05:00,196.52,196.64,196.46,196.475,196308
2023-12-15 14:30:00-05:00,196.48,196.6799,196.43,196.6,215935
2023-12-15 14:35:00-05:00,196.6,196.84,196.57,196.68,531342
2023-12-15 14:40:00-05:00,196.69,196.8004,196.58,196.61,510286
2023-12-15 14:45:00-05:00,196.6,196.85,196.6,196.67,233401
2023-12-15 14:50:00-05:00,196.68,196.82,196.68,196.7606,233962
2023-12-15 14:55:00-05:00,196.77,196.8,196.54,196.8,515318
2023-12-15 15:00:00-05:00,196.79,197.12,196.71,197.05,364757
2023-12-15 15:05:00-05:00,197.055,197.055,196.871,196.95,303112
2023-12-15 15:10:00-05:00,196.96,197.11,196.955,197.02,253380
2023-12-15 15:15:00-05:00,197.01,197.16,196.975,197.11,319047
2023-12-15 15:20:00-05:00,197.11,197.34,197.09,197.19,390640
2023-12-15 15:25:00-05:00,197.21,197.53,197.19,197.4,470025
2023-12-15 15:30:00-05:00,197.4082,197.63,197.31,197.345,636699
2023-12-15 15:35:00-05:00,197.345,197.35,197.09,197.29,529670
2023-12-15 15:40:00-05:00,197.28,197.285,197.115,197.115,469195
2023-12-15 15:45:00-05:00,197.13,197.27,197.01,197.19,557540
2023-12-15 15:50:00-05:00,197.19,197.635,197.18,197.5,989484
2023-12-15 15:55:00-05:00,197.5,197.63,196.93,196.97,2314137
2023-12-18 09:30:00-05:00,197.98,198.0,196.84,197.11,1621425
2023-12-18 09:35:00-05:00,197.11,198.09,196.92,197.95,1347662
2023-12-18 09:40:00-05:00,197.95,198.26,197.29,198.1401,1147322
2023-12-18 09:45:00-05:00,198.14,198.5998,198.0,198.48,1162210
2023-12-18 09:50:00-05:00,198.49,198.7,198.16,198.28,909822
2023-12-18 09:55:00-05:00,198.29,198.46,197.788,198.37,828894
2023-12-18 10:00:00-05:00,198.39,198.77,198.21,198.21,606482
2023-12-18 10:05:00-05:00,198.2,198.42,198.04,198.21,411527
2023-12-18 10:10:00-05:00,198.25,198.45,197.745,197.825,554841
2023-12-18 10:15:00-05:00,197.825,198.155,197.59,197.98,620231
2023-12-18 10:20:00-05:00,197.99,198.12,197.73,198.05,491339
2023-12-18 10:25:00-05:00,198.05,198.094,197.69,197.8,312290
2023-12-18 10:30:00-05:00,197.81,197.88,197.54,197.78,399355
2023-12-18 10:35:00-05:00,197.77,197.805,197.31,197.38,608421
2023-12-18 10:40:00-05:00,197.38,197.689,197.18,197.607,533288
2023-12-18 10:45:00-05:00,197.6,197.605,197.235,197.3,261811
2023-12-18 10:50:00-05:00,197.29,197.29,196.68,196.785,521254
2023-12-18 10:55:00-05:00,196.78,197.21,196.775,197.18,630933
2023-12-18 11:00:00-05:00,197.17,197.17,196.89,196.91,376292
2023-12-18 11:05:00-05:00,196.91,197.09,196.83,197.0731,244147
2023-12-18 11:10:00-05:00,197.07,197.37,197.02,197.255,332190
2023-12-18 11:15:00-05:00,197.25,197.48,197.2399,197.31,361946
2023-12-18 11:20:00-05:00,197.32,197.3625,197.06,197.07,352623
2023-12-18 11:25:00-05:00,197.085,197.35,197.085,197.26,204960
2023-12-18 11:30:00-05:00,197.25,197.33,197.055,197.18,235228
2023-12-18 11:35:00-05:00,197.18,197.22,197.0,197.145,249215
2023-12-18 11:40:00-05:00,197.145,197.25,197.07,197.225,252154
2023-12-18 11:45:00-05:00,197.2203,197.3201,197.11,197.19,264099
2023-12-18 11:50:00-05:00,197.18,197.29,197.0,197.11,295525
2023-12-18 11:55:00-05:00,197.11,197.235,197.08,197.15,293148
2023-12-18 12:00:00-05:00,197.15,197.3375,197.15,197.25,316750
2023-12-18 12:05:00-05:00,197.25,197.32,197.17,197.28,177106
2023-12-18 12:10:00-05:00,197.29,197.59,197.28,197.53,379391
2023-12-18 12:15:00-05:00,197.54,197.77,197.51,197.76,476046
2023-12-18 12:20:00-05:00,197.76,197.77,197.51,197.53,477899
2023-12-18 12:25:00-05:00,197.53,197.625,197.4801,197.5441,182140
2023-12-18 12:30:00-05:00,197.55,197.61,197.46,197.535,211553
2023-12-18 12:35:00-05:00,197.53,197.69,197.52,197.61,279064
2023-12-18 12:40:00-05:00,197.6,197.6585,197.48,197.49,228550
2023-12-18 12:45:00-05:00,197.4967,197.4967,197.2559,197.2559,355265
2023-12-18 12:50:00-05:00,197.25,197.265,197.05,197.205,150944
2023-12-18 12:55:00-05:00,197.19,197.415,197.12,197.37,210404
2023-12-18 13:00:00-05:00,197.37,197.4,197.14,197.14,153232
2023-12-18 13:05:00-05:00,197.14,197.24,197.05,197.235,210620
2023-12-18 13:10:00-05:00,197.23,197.24,197.085,197.095,190144
2023-12-18 13:15:00-05:00,197.1,197.1225,196.93,197.11,209472
2023-12-18 13:20:00-05:00,197.12,197.21,197.0015,197.02,159063
2023-12-18 13:25:00-05:00,197.03,197.11,197.0,197.035,149027
2023-12-18 13:30:00-05:00,197.025,197.05,196.94,196.965,198756
2023-12-18 13:35:00-05:00,196.965,197.07,196.93,197.04,118882
2023-12-18 13:40:00-05:00,197.0401,197.12,196.965,197.025,233758
2023-12-18 13:45:00-05:00,197.02,197.1099,196.99,197.065,175331
2023-12-18 13:50:00-05:00,197.08,197.205,197.075,197.18,296952
2023-12-18 13:55:00-05:00,197.18,197.19,197.063,197.105,121645
2023-12-18 14:00:00-05:00,197.1,197.2,197.07,197.12,118975
2023-12-18 14:05:00-05:00,197.1106,197.15,196.935,196.985,162079
2023-12-18 14:10:00-05:00,196.98,197.015,196.87,196.98,232416
2023-12-18 14:15:00-05:00,196.98,196.985,196.86,196.91,104519
2023-12-18 14:20:00-05:00,196.9,197.24,196.89,197.165,190436
2023-12-18 14:25:00-05:00,197.17,197.175,196.79,196.95,362080
2023-12-18 14:30:00-05:00,196.96,196.985,196.7524,196.81,365609
2023-12-18 14:35:00-05:00,196.81,197.045,196.81,197.025,247731
2023-12-18 14:40:00-05:00,197.03,197.23,197.02,197.2,235690
2023-12-18 14:45:00-05:00,197.19,197.28,197.135,197.245,345855
2023-12-18 14:50:00-05:00,197.245,197.445,197.21,197.42,303812
2023-12-18 14:55:00-05:00,197.42,197.42,197.23,197.25,208091
2023-12-18 15:00:00-05:00,197.25,197.31,197.11,197.27,297221
2023-12-18 15:05:00-05:00,197.27,197.34,197.14,197.23,260406
